id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
46240929,Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,available,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy...",99000,39600,59400,40,4.8,4086,"{'text': 'Đã bán 5000+', 'value': 22781}",sach_ki_nang_song,Bìa mềm
100347903,Nói Một Cách Đơn Giản,Rhee Dongwoo,available,"“Tại sao tôi không thể nói đúng như ý mình?”
Bắt đầu từ một nỗi băn khoăn mà ai ai cũng có, cuốn sách này đi tìm ngọn nguồn nguyên nhân cũng như đưa ra những giải pháp để khắc phục vấn đề. Mười quy...",129000,31000,98000,24,5.0,56,"{'text': 'Đã bán 363', 'value': 363}",sach_ki_nang_song,Bìa mềm
71990280,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,available,"NÓI CHUYỆN LÀ BẢN NĂNG, GIỮ MIỆNG LÀ TU DƯỠNG, IM LẶNG LÀ TRÍ TUỆ
Tuân Tử nói: “Nói năng hợp lý, đó gọi là hiểu biết; im lặng đúng lúc, đó cũng là hiểu biết”. Ngôn ngữ là thứ có thể thể hiện rõ nhất...",159000,63600,95400,40,4.8,1103,"{'text': 'Đã bán 5000+', 'value': 6211}",sach_ki_nang_song,Bìa mềm
68832570,Lòng Tốt Của Bạn Cần Thêm Đôi Phần Sắc Sảo Tập 2,Mộ Nhan Ca,available,"“Có lúc, lòng tốt sẽ trở thành từ đồng nghĩa với thiếu tình thương, tự ti, nhu nhược, cô đơn, cực đoan, thường bị cô lập và bắt nạt. Mãi đến sau khi viết cuốn sách Lòng tốt của bạn cần thêm đôi phần...",100000,23900,76100,24,4.8,160,"{'text': 'Đã bán 831', 'value': 831}",sach_ki_nang_song,Bìa mềm
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,available,"TÂM LÝ HỌC TỘI PHẠM - PHÁC HỌA CHÂN DUNG KẺ PHẠM TỘI
Tội phạm, nhất là những vụ án mạng, luôn là một chủ đề thu hút sự quan tâm của công chúng, khơi gợi sự hiếu kỳ của bất cứ ai. Một khi đã bắt đầu...",145000,50750,94250,35,5.0,491,"{'text': 'Đã bán 1567', 'value': 1567}",sach_ki_nang_song,Bìa mềm
69764541,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,available,"Tâm Lý Học Hành Vi
Cuốn sách giúp bạn thấu hiểu bản thân mình và tâm lý những người xung quanh!
Được chấp bút bởi bậc thầy tâm lý hàng đầu Trung Quốc Khương Nguy.Tâm lý học theo chủ nghĩa hành vi...",98000,2000,96000,2,5.0,2189,"{'text': 'Đã bán 5000+', 'value': 10962}",sach_ki_nang_song,Bìa gập
26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Tống Mặc,available,"Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.
Cái gì cũng nói toạc ra, cái gì cũng bộc lộ...",89000,28900,60100,32,4.8,6330,"{'text': 'Đã bán 5000+', 'value': 63249}",sach_ki_nang_song,Bìa mềm
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,available,"KHÔNG AI CÓ THỂ LÀM BẠN TỔN THƯƠNG TRỪ KHI BẠN CHO PHÉP – YOO EUN JUNG
Chúng ta vẫn thường nghĩ mình sẽ chỉ hạnh phúc khi ở bên cạnh ai đó và nhận được yêu thương từ họ. Nhưng thực chất, hạnh phúc...",119000,11400,107600,10,5.0,1174,"{'text': 'Đã bán 5000+', 'value': 6006}",sach_ki_nang_song,Bìa mềm
85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),Bạch Tô,available,"Cuốn sách dành cho những bạn trẻ chênh vênh và đầy hoang mang nhưng không ngừng theo đuổi sự nỗ lực
Từng được đón đọc bởi 1 triệu độc giả khắp Trung Quốc, 4 chương sách tổng hợp 50 lời khuyên chất...",99000,34650,64350,35,4.8,140,"{'text': 'Đã bán 512', 'value': 512}",sach_ki_nang_song,Bìa mềm
143217512,Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,available,"Trong cuộc sống thường ngày, chúng ta thường nổi giận vì nhiều nguyên do: công việc không suôn sẻ, chúng ta tức giận; bị người khác hiểu nhầm, chúng ta tức giận; thấy việc chướng tai gai mắt, chúng...",96000,26000,70000,27,4.8,618,"{'text': 'Đã bán 4909', 'value': 4909}",sach_ki_nang_song,Bìa mềm
