id,name,author_name,inventory_status,short_description,original_price,discount,price,discount_rate,rating_average,review_count,quantity_sold,type_book,book_cover
134285620,Sách Thành thạo các hàm Excel phổ biến nhất,,available,"CÂU CHUYỆN NHỎ
Với hơn 2830+ học viên,cộng đồng 37500+ thành viên thảo luận về tin học văn phòng, Tinhocmos thường nhận 10 -15 câu hỏi/ngày, liên quan đến Hàm Excel từ cơ bản đến phức tạp. Tựu...",148000,0,148000,0,5.0,73,"{'text': 'Đã bán 332', 'value': 332}",sach_it,Bìa mềm
192008292,Combo 2 môn Khóa Ôn Thi chứng chỉ MOS 2016 ,,available,"LƯU Ý QUAN TRỌNG: Lựa chọn ĐÚNG phân loại sản phẩm trước khi mua sản phẩm (hướng dẫn ở phần hình ảnh)
Sản phẩm có nhiều phân loại để bạn lựa chọn phù hợp với nhu cầu và sản phẩm bạn chọn sẽ đi theo...",850000,135000,715000,16,5.0,1,"{'text': 'Đã bán 8', 'value': 8}",sach_it,Bìa mềm
52317345,Sự Thật Về Cuộc Sống Và Con Đường Trở Thành “Tin Tặc” Của Những Con Người Đã Thay Đổi Lịch Sử Phát Triển Của Ngành Công Nghệ: Hacker Lược Sử,Steven Levy,available,"Cuốn sách nói về những nhân vật, cỗ máy, sự kiện định hình cho văn hóa và đạo đức hacker từ những hacker đời đầu ở đại học MIT.Câu chuyện hấp dẫn bắt đầu từ các phòng thí nghiệm nghiên cứu máy tính...",299000,104650,194350,35,5.0,5,"{'text': 'Đã bán 14', 'value': 14}",sach_it,
168962825,Khóa Ôn thi chứng chỉ MOS Excel 2016 Specialist,,available,"

LƯU Ý QUAN TRỌNG: Lựa chọn ĐÚNG phân loại sản phẩm trước khi mua sản phẩm (hướng dẫn ở phần hình ảnh)
Sản phẩm có nhiều phân loại để bạn lựa chọn phù hợp với nhu cầu và sản phẩm bạn chọn sẽ đi theo...",349000,0,349000,0,5.0,6,"{'text': 'Đã bán 11', 'value': 11}",sach_it,Bìa mềm
77281352,Lời giải bài tập Python cơ bản,Bùi Việt Hà,available,"

SÁCH LỜI GIẢI BÀI TẬP PYTHON CƠ BẢN
Cuốn sách Lời giải bài tập Python cơ bản của Thầy Bùi Việt Hà hiện đã có mặt tại Tủ sách CS4S.
Cuốn sách này bao gồm lời giải, đáp số, chương trình, hướng dẫn...",75000,0,75000,0,4.7,234,"{'text': 'Đã bán 1073', 'value': 1073}",sach_it,Bìa mềm
1664525,Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao,.,available,"Giáo trình kỹ thuật lập trình C căn bản và nâng cao được hình thành qua nhiều năm giảng dạy của các tác giả. Ngôn ngữ lập trình C là một môn học cơ sở trong chương trình đào tạo kỹ sư, cử nhân tin...",135000,49800,85200,37,5.0,49,"{'text': 'Đã bán 443', 'value': 443}",sach_it,Bìa mềm
181997205,Nhập môn thuật toán, Bùi Việt Hà,available,"GIỚI THIỆU SÁCH NHẬP MÔN THUẬT TOÁN
Cuốn sách này được viết hướng đến người đọc là giáo viên và học sinh từ cấp THCS lớp 8 trở lên theo nội dung lõi của định hướng khoa học máy tính trong nhà...",215000,0,215000,0,5.0,17,"{'text': 'Đã bán 86', 'value': 86}",sach_it,Bìa mềm
179166553,Sách - Hello Các Bạn Mình Là Tôi Đi Code Dạo 1980Books,Phạm Huy Hoàng,available,"Tác giả: Phạm Huy Hoàng
THÔNG TIN XUẤT BẢN:
Kích thước khổ: 13x20
Số Trang: 368
Giá bìa: 189.000 vnđ
Mã EAN: 8936066693813
NXB liên kết: NXB Thanh Niên
Sách do Công ty 1980 BOOKS mua bản quyền và ấn...",189000,75600,113400,40,4.6,14,"{'text': 'Đã bán 83', 'value': 83}",sach_it,Bìa mềm
55582071,Thực Hành Microsoft Word - Excel - PowerPoint 2016 Bằng Các Tuyệt Chiêu (Sách kèm theo CD Bài tập) (Tái bản năm 2020),.,available,"* Sử dụng cho các phiên bản 2021 - 2019 - 2016 - 2013
MỤC LỤC
CHƯƠNG 1: GIỚI THIỆU CÁC TÍNH NĂNG MỚI OFFICE 2016
CHƯƠNG 2: TẠO TÀI LIỆU VĂN BẢN VỚI WORD 2016
CHƯƠNG 3: ĐIỀU CHỈNH CẤU TRÚC TÀI...",79000,9000,70000,11,4.6,138,"{'text': 'Đã bán 709', 'value': 709}",sach_it,Bìa mềm
189765038,Python lập trình thuật toán, Bùi Việt Hà,available,"Lời nói đầu cuốn Python lập trinh thuật toán
Chúc mừng các bạn đã có trên tay cuốn sách Python lập trình thuật toán, một cuốn sách mới, và có lẽ là đầu tiên trình bày về lập trình Python nhưng là lập...",95000,0,95000,0,5.0,12,"{'text': 'Đã bán 88', 'value': 88}",sach_it,Bìa mềm
157540510,Sách Luyện Thi Tin Học Trẻ Với Python (Bảng B: Thi Kỹ Năng Lập Trình Cấp Trung Học Cơ Sở),nhieu tac gia,available,"
Hội thi Tin học trẻ và ngôn ngữ lập trình PythonHội thi Tin học trẻ do Trung ương Đoàn TNCS Hồ Chí Minh chủ trì, phối hợp với Bộ Khoa học và Công nghệ, Bộ Thông tin và Truyền thông, Bộ Giáo dục và...",200000,10000,190000,5,5.0,31,"{'text': 'Đã bán 120', 'value': 120}",sach_it,Bìa mềm
24889348,Lập trình hướng đối tượng JAVA core dành cho người mới bắt đầu học lập trình,,available,"I. Đôi điều về tác giả
Tôi là NEOS.THÀNH (Nguyễn Văn Thành) – Một lập trình viên Java-Android, tác giả cuốn sách “Lập trình hướng đối tượng Java Core”, CEO của công ty TNHH MTV DV Giáo Dục Thành...",249000,0,249000,0,4.7,199,"{'text': 'Đã bán 1410', 'value': 1410}",sach_it,
75615219,Tự Học Photoshop Cc - Toàn Tập (Tái bản bổ sung lần 2),Phạm Quang Huy,available,"Tự Học Photoshop Cc - Toàn Tập (Tái bản bổ sung lần 2) gồm 20 chương lý thuyết và bài tập thực hành khai thác các công cụ và lệnh cơ bản trong Photoshop, giúp các bạn tiết kiệm thời gian, đạt năng...",155000,31000,124000,20,4.7,45,"{'text': 'Đã bán 183', 'value': 183}",sach_it,Bìa mềm
176726755,SÁNG TẠO TRONG THUẬT TOÁN VÀ LẬP TRÌNH VỚI PYTHON,,available,"Sáng tạo trong thuật toán và lập trình với Python (Tuyển các bài toán Tin nâng cao cho học sinh và sinh viên giỏi)
Tác giả: PGS.TSKH Nguyễn Xuân Huy   
Nhà xuất bản: ĐHQGHN 
Năm xuất bản: 2021
Số...",140000,23800,116200,17,4.8,6,"{'text': 'Đã bán 23', 'value': 23}",sach_it,
134526284,Hướng Dẫn Sử Dụng Microsoft Office Tự Học Nhanh Word- Excel,Phạm Quang Hiển,available,"Chúc mừng bạn đến với tủ sách STK qua bộ sách “HƯỚNG DẪN SỬ DỤNG MICROSOFT OFFICE”, một chương trình đầy quyền năng trong tính toán bảng tính. Word và Excel là hai chương trình thuộc bộ Microsoft...",188000,44000,144000,23,4.7,19,"{'text': 'Đã bán 96', 'value': 96}",sach_it,Bìa mềm
58723518,Excel Dành Cho Người Tự Học,Phạm Phương Hoa,available,"Gồm 13 chương và 1 phụ lục với nội dung sau:
CHƯƠNG 1: TỔNG QUAN VỀ EXCEL.
CHƯƠNG 2: ĐIỀU HƯỚNG VÀ LÀM VIỆC VỚI CÁC WORKSHEET.
CHƯƠNG 3: NHẬP VÀ CHỈNH SỬA DỮ LIỆU.
CHƯƠNG 4: ĐỊNH DẠNG VÀ CANH CHỈNH...",172000,34400,137600,20,4.8,30,"{'text': 'Đã bán 130', 'value': 130}",sach_it,Bìa mềm
